,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
59,Cidreira,-30.18,-50.21,76.44,83,90,17.85
60,Ishigaki,24.34,124.16,64.02,56,0,14.0
61,Hofn,64.25,-15.21,37.38,78,100,20.09
62,Quatre Cocos,-20.21,57.76,76.51,83,40,12.08
63,Pitimbu,-7.47,-34.81,77.0,94,90,10.29
64,Portland,45.52,-122.68,40.62,48,40,24.16
65,Torbay,47.67,-52.73,30.45,86,90,21.92
66,Auki,-8.77,160.7,84.36,74,100,7.4
67,Troitskoye,52.98,84.68,32.52,91,100,6.89
68,Namatanai,-3.67,152.43,82.2,78,100,11.18
69,Whithorn,18.26,-78.04,83.17,65,20,20.8
70,São Filipe,14.9,-24.5,72.84,69,0,20.51
71,Ancud,-41.87,-73.82,66.2,55,20,11.41
72,Moose Factory,51.26,-80.61,6.8,55,1,5.82
73,Irati,-25.47,-50.65,88.86,29,1,3.8
74,Hämeenlinna,61.0,24.46,36.52,72,90,20.8
75,Bria,6.54,21.99,81.66,33,32,3.38
76,Yuncheng,35.02,110.99,53.94,22,100,3.47
77,Souillac,-20.52,57.52,76.57,83,40,5.01
78,Sergeevka,53.88,67.42,32.52,84,55,17.67
79,Kaitangata,-46.28,169.85,52.0,89,90,22.93
80,Ushuaia,-54.8,-68.3,64.4,52,40,8.05
81,Wuwei,37.93,102.64,37.56,52,100,6.73
82,George Town,5.41,100.34,79.47,88,20,2.24
83,Viedma,-40.81,-63.0,76.98,18,0,2.46
84,Dikson,73.51,80.55,-6.72,98,100,3.13
85,Tuktoyaktuk,69.45,-133.04,-2.2,77,90,20.8
86,‘Āhuimanu,21.44,-157.84,74.73,88,90,3.36
87,Carnarvon,-24.87,113.63,77.0,83,90,11.41
88,Synya,65.37,58.04,-0.42,89,0,3.2
89,Fort-Shevchenko,44.51,50.26,43.68,56,65,9.31
90,Kargasok,59.06,80.86,32.16,98,100,12.71
91,Kapaa,22.08,-159.32,71.38,73,40,10.29
92,Thompson,55.74,-97.86,15.8,43,20,14.99
93,Jalu,29.03,21.55,73.2,17,0,8.23
94,Salalah,17.02,54.09,77.0,61,20,8.05
95,Port Elizabeth,-33.92,25.57,62.6,93,40,3.36
96,Latung,5.5,120.88,80.76,78,38,7.83
97,Vila Velha,-20.33,-40.29,85.35,66,20,12.75
98,Rockledge,28.35,-80.73,83.59,74,1,6.93
99,Sibolga,1.74,98.78,72.12,94,100,3.76
100,Jamestown,42.1,-79.24,39.45,38,1,10.29
101,Yar-Sale,66.83,70.83,-6.18,81,78,5.93
102,Severo-Kuril'sk,50.68,156.12,30.72,98,100,12.82
103,Aktash,50.3,87.73,15.78,69,67,8.46
104,Nikolskoye,59.7,30.79,32.9,59,30,11.18
105,Atambua,-9.11,124.89,73.2,81,100,3.74
106,Emerald,-23.53,148.17,68.0,72,0,9.17
107,Kruisfontein,-34.0,24.73,60.96,90,100,6.53
108,Bredasdorp,-34.53,20.04,64.78,55,100,12.75
109,Coquimbo,-29.95,-71.34,64.4,77,75,13.87
110,Varberg,57.11,12.25,43.66,81,90,18.34
111,Lebu,-37.62,-73.65,67.98,40,0,10.67
112,Arkhangel’skoye,55.85,35.33,26.76,62,63,9.55
113,Hong Kong,22.29,114.16,66.22,77,20,9.17
114,Saskylakh,71.92,114.08,20.1,96,100,5.41
115,Vao,-22.67,167.48,84.0,72,41,45.79
116,Novaya Ladoga,60.1,32.3,30.0,31,15,10.69
117,Mazara del Vallo,37.66,12.59,52.59,93,40,9.17
118,Cherskiy,68.75,161.3,-2.22,97,98,4.79
119,Kavieng,-2.57,150.8,84.54,70,100,7.74
120,Kumul,42.8,93.45,38.46,25,18,2.59
121,Bukachacha,52.98,116.92,15.96,96,100,3.29
122,Grand Gaube,-20.01,57.66,76.46,83,40,9.75
123,Ola,59.58,151.28,-3.12,91,87,6.6
124,Fort Nelson,58.81,-122.7,17.6,52,75,4.7
125,Chapais,49.78,-74.85,8.6,46,1,10.29
126,Revelstoke,50.98,-118.2,23.0,41,1,17.22
127,Oga,46.46,10.35,30.74,79,61,11.41
128,Hilo,19.73,-155.09,67.93,73,90,4.7
129,Bilibino,68.05,166.44,-8.52,97,60,3.42
130,Bonavista,48.65,-53.11,30.99,79,66,11.99
131,Szeghalom,47.03,21.17,39.63,32,0,8.05
132,Buritizeiro,-17.35,-44.96,80.94,61,99,5.66
133,Vardø,70.37,31.11,19.4,79,94,27.51
134,Banda Aceh,5.56,95.32,75.72,93,100,5.26
135,Terrace Bay,48.78,-87.1,23.0,45,20,2.24
136,Valley City,46.92,-98.0,27.77,86,90,12.75
137,Lavumisa,-27.31,31.89,71.76,97,34,3.91
138,Taku,39.02,117.65,35.6,55,0,8.95
139,Khatanga,71.97,102.5,-16.26,90,100,8.81
140,Kirakira,-10.45,161.92,76.62,92,100,8.23
141,Erdenet,49.03,104.08,23.88,68,88,7.16
142,Hambantota,6.12,81.12,80.76,80,0,14.7
143,Yangi Marg`ilon,40.43,71.72,53.6,40,52,9.17
144,Guhāgar,17.48,73.19,81.66,61,0,8.39
145,Port Hardy,50.7,-127.42,37.4,44,5,14.99
146,Yellowknife,62.46,-114.35,26.22,63,20,18.34
147,New Norfolk,-42.78,147.06,49.12,71,90,1.12
148,Boende,-0.22,20.87,72.48,96,100,2.57
149,Shitanjing,39.23,106.34,40.62,21,100,2.73
150,Lagoa,39.05,-27.98,58.62,70,0,3.98
151,Santa Marta,11.24,-74.2,98.01,43,1,1.99
152,Honāvar,14.28,74.45,71.22,93,62,3.09
153,Norman Wells,65.28,-126.83,17.6,61,75,18.34
154,Chopinzinho,-25.86,-52.52,87.42,34,17,5.91
155,Serra Talhada,-7.99,-38.3,86.34,53,70,9.04
156,Sirte,31.21,16.59,63.66,69,0,13.29
157,Port-Gentil,-0.72,8.78,84.2,83,40,9.17
158,Akdepe,42.06,59.38,61.7,45,84,11.41
159,Qaanaaq,77.48,-69.36,-12.3,64,100,2.39
160,Half Moon Bay,37.46,-122.43,50.32,71,90,13.87
161,Fare,-16.7,-151.02,82.38,77,6,13.94
162,Key Largo,25.09,-80.45,80.58,65,40,9.17
163,Bilma,18.69,12.92,68.88,11,0,1.41
164,Hithadhoo,-0.6,73.08,84.18,57,34,3.85
165,Manoel Urbano,-8.84,-69.26,86.34,76,98,5.19
166,Seryshevo,51.09,128.38,8.4,90,97,6.8
167,Yining,29.04,114.56,55.2,69,79,1.1
168,Benguela,-12.58,13.41,80.6,83,75,4.7
169,Kapoeta,4.77,33.59,87.24,47,90,1.88
170,Tual,-5.67,132.75,79.86,81,100,12.33
171,Araouane,18.9,-3.53,88.32,7,4,4.05
172,Naryan-Mar,67.67,53.09,13.8,87,100,18.45
173,Puerto Ayora,-0.74,-90.35,84.31,70,20,11.41
174,Mar del Plata,-38.0,-57.56,64.62,63,75,11.41
175,Buraidah,26.33,43.98,66.2,59,0,9.17
176,Saint George,37.1,-113.58,56.52,50,75,10.29
177,Puerto Asís,0.51,-76.5,89.6,62,40,4.7
178,Eenhana,-17.47,16.33,72.84,72,49,2.8
179,Caravelas,-17.71,-39.25,80.94,75,100,7.54
180,Hamilton,39.18,-84.53,42.37,76,90,9.17
181,Talnakh,69.49,88.4,-14.8,75,20,6.71
182,Oddur,4.12,43.89,84.9,39,52,9.93
183,Bulungu,-4.55,18.6,79.86,71,36,0.36
184,Tabuk,17.42,121.44,69.6,87,98,7.92
185,Benjamin Constant,-4.38,-70.03,89.58,70,40,2.24
186,Mossamedes,-15.2,12.15,75.54,87,56,11.07
187,Huarmey,-10.07,-78.15,85.26,46,47,11.1
188,Port Macquarie,-31.43,152.92,60.91,100,75,6.93
189,Lebyazh'ye,55.27,66.49,33.24,82,95,22.21
190,Barrow,71.29,-156.79,-7.6,69,1,13.87
191,Makkah al Mukarramah,21.43,39.83,69.06,56,0,7.56
192,Arraial do Cabo,-22.97,-42.03,86.0,66,0,16.11
193,Ankang,32.68,109.02,55.99,54,86,7.0
194,Calvià,39.57,2.51,59.67,67,12,6.93
195,Lavrentiya,65.58,-171.0,28.56,98,100,7.92
196,Klaksvík,62.23,-6.59,30.2,80,95,28.19
197,Amapá,1.0,-52.0,79.86,94,88,2.37
198,Sitka,57.05,-135.33,32.32,80,1,3.15
199,Aloleng,16.13,119.78,72.84,84,10,2.42
200,Mahébourg,-20.41,57.7,76.57,83,40,5.01
201,Khairpur Nathan Shah,27.09,67.73,73.56,22,100,6.26
202,Port Lincoln,-34.73,135.87,63.48,76,25,12.68
203,Tiksi,71.69,128.87,3.0,87,99,18.37
204,Yulara,-25.24,130.99,75.2,18,0,6.93
205,Kenai,60.55,-151.26,4.28,76,1,3.36
206,Denpasar,-8.65,115.22,80.6,94,40,2.24
207,Sühbaatar,50.23,106.21,25.14,71,55,3.62
208,San Patricio,19.22,-104.7,86.0,79,20,11.41
209,Avarua,-21.21,-159.78,82.4,83,77,2.24
210,Chipiona,36.74,-6.44,63.68,72,20,10.29
211,Pevek,69.7,170.31,8.76,94,96,13.13
212,Nanortalik,60.14,-45.24,24.78,73,100,15.64
213,Dunda,-8.12,34.25,67.8,90,100,3.33
214,Kolyshley,52.7,44.54,32.0,60,100,17.94
215,Camaná,-16.62,-72.71,71.4,76,99,10.65
216,Olinda,-8.01,-34.86,84.2,70,40,10.29
217,Okhotsk,59.38,143.3,-1.32,98,97,2.1
218,Guarapari,-20.67,-40.5,85.33,66,20,12.75
219,Mulegé,26.88,-111.98,69.06,52,43,5.82
220,Liverpool,53.41,-2.98,44.96,81,20,12.75
221,Karema,-6.82,30.44,76.8,70,36,1.83
222,Rockport,28.02,-97.05,78.13,78,40,13.87
223,Lae,-6.72,146.98,66.36,84,100,1.05
224,Ambilobe,-13.2,49.05,79.5,90,100,9.73
225,Paamiut,61.99,-49.67,8.22,62,9,15.17
226,Périgueux,45.18,0.72,58.17,55,10,16.11
227,Sagua la Grande,22.81,-80.08,84.2,45,40,17.22
228,Durban,-29.86,31.03,74.8,88,75,12.75
229,Yamada,39.47,141.95,36.12,88,100,5.26
230,Kiryat Gat,31.61,34.76,59.63,82,66,3.36
231,Los Llanos de Aridane,28.66,-17.92,63.05,63,20,19.46
232,Hanting,36.77,119.21,34.68,42,18,7.11
233,Kamenka,51.32,42.77,24.01,88,100,18.32
234,Havre-St-Pierre,50.23,-63.6,30.2,42,40,9.17
235,Kopavogur,64.11,-21.91,34.34,69,90,27.51
236,Halifax,44.65,-63.57,35.92,52,40,8.05
237,Mizdah,31.45,12.98,64.2,47,0,11.36
238,Dimona,31.07,35.03,57.0,79,80,2.8
239,Isangel,-19.55,169.27,82.4,94,90,28.86
240,Saint Paul Harbor,57.79,-152.41,21.2,79,1,6.93
241,Kodinsk,58.69,99.18,30.54,89,100,13.4
242,Genhe,50.78,121.52,-2.22,98,86,4.21
243,Kostanay,53.17,63.58,28.4,86,0,11.18
244,Iqaluit,63.75,-68.51,-11.11,69,75,4.7
245,Castro,-24.79,-50.01,84.9,42,3,4.85
246,Krasnystaw,50.98,23.17,31.44,46,0,6.04
247,San Rafael,-34.62,-68.33,72.84,25,22,9.42
248,Nago,26.59,127.98,59.74,51,20,14.99
249,Margate,51.38,1.39,50.09,76,75,14.99
250,Ponta do Sol,32.67,-17.1,61.79,63,40,14.99
251,Taldan,53.67,124.8,3.72,96,54,2.55
252,Río Gallegos,-51.62,-69.22,69.8,37,75,12.75
253,Marabu,4.41,114.01,75.13,100,75,13.22
254,Shimoda,34.67,138.95,39.04,80,75,3.36
255,Nishihara,26.18,127.76,59.56,51,20,14.99
256,Kuching,1.55,110.33,82.4,83,40,6.93
257,Hede,33.77,120.25,44.04,61,81,15.08
258,Pakokku,21.33,95.1,77.88,34,83,8.28
259,Upernavik,72.79,-56.15,-18.6,74,0,3.8
260,Arklow,52.79,-6.14,43.79,56,20,14.99
261,Gashua,12.87,11.05,79.68,9,95,8.72
262,Cross Lanes,38.42,-81.79,39.43,86,90,5.82
263,Belmonte,-15.86,-38.88,84.2,79,75,5.82
264,Guerrero Negro,27.98,-114.06,64.2,61,0,14.07
265,Yerbogachën,61.28,108.01,28.38,96,100,10.56
266,Deputatsky,69.3,139.9,-31.2,84,0,0.87
267,Puerto Maldonado,-12.6,-69.18,90.3,55,100,0.81
268,Almaznyy,48.04,40.05,28.4,50,83,11.18
269,Herat Province,34.5,62.0,66.2,34,75,8.05
270,East London,-33.02,27.91,68.0,88,20,8.05
271,Canandaigua,42.87,-77.29,34.16,51,1,4.7
272,Smolenka,52.14,113.5,35.6,59,100,11.18
273,Broken Hill,-31.95,141.43,60.8,48,0,10.29
274,Middle Island,40.88,-72.94,49.82,21,1,9.17
275,Alice Town,25.72,-79.3,74.82,74,64,11.03
276,Oodweyne,9.41,45.06,72.48,54,30,5.28
277,Emmett,43.87,-116.5,47.73,75,90,5.82
278,Bedēsa,8.9,40.78,65.28,67,65,2.21
279,Grindavik,63.84,-22.43,35.6,69,90,27.51
280,Matara,5.95,80.54,75.9,90,1,6.15
281,Mahabalipuram,12.63,80.17,81.66,78,20,3.36
282,Nome,64.5,-165.41,30.2,92,90,12.75
283,Cockburn Town,21.46,-71.14,74.82,74,0,16.75
284,Baghdad,33.34,44.4,64.4,77,40,5.82
285,Masunga,-20.62,27.45,77.0,65,100,3.36
286,Yuci,37.68,112.73,41.0,32,100,2.24
287,Ayorou,14.73,0.92,91.02,9,100,7.4
288,Kenora,49.82,-94.43,24.58,45,90,8.05
289,Houlton,46.13,-67.84,26.02,45,40,10.29
290,Bethel,41.37,-73.41,49.33,20,1,11.41
291,Peniche,39.36,-9.38,53.53,62,40,13.87
292,Mmabatho,-25.85,25.63,68.0,52,1,5.82
293,Benghazi,32.12,20.07,66.72,52,0,6.29
294,Seoul,37.57,126.98,28.99,74,1,1.12
295,Sungai Penuh,-2.08,101.38,62.94,98,71,2.89
296,Constitución,-35.33,-72.42,66.54,47,0,11.92
297,Bengkulu,-3.8,102.27,75.36,88,93,3.31
298,Tiarei,-17.53,-149.33,86.0,66,20,3.36
299,Sittwe,20.15,92.9,75.36,74,38,6.87
300,Wamba,8.93,8.6,86.16,12,39,4.99
301,Kutum,14.2,24.67,68.52,20,30,4.12
302,Pareora,-44.49,171.21,54.0,97,41,3.47
303,Mucuri,-18.09,-39.55,82.92,66,83,8.59
304,Cap-aux-Meules,47.38,-61.86,30.2,68,75,21.92
305,Plettenberg Bay,-34.05,23.37,61.68,89,100,1.72
306,Chokurdakh,70.63,147.92,-22.2,71,0,4.07
307,Stokmarknes,68.56,14.91,28.02,79,40,6.93
308,Tommot,58.96,126.29,11.82,96,100,1.61
309,Xapuri,-10.65,-68.5,91.4,66,75,3.36
310,Kakonko,-3.28,30.96,68.16,84,40,2.46
311,Huambo,-12.78,15.74,65.1,93,75,4.41
312,Katsuura,35.13,140.3,42.8,75,99,6.93
313,Kholodnyy,62.72,147.95,-10.68,99,100,4.99
314,Alice Springs,-23.7,133.88,64.4,36,0,2.24
315,Natal,-5.79,-35.21,82.4,83,75,8.05
316,Flin Flon,54.77,-101.86,14.0,61,75,9.17
317,Salinópolis,-0.61,-47.36,78.24,87,100,5.82
318,Kununurra,-15.77,128.73,71.6,88,0,5.66
319,Warwick,41.7,-71.42,47.52,18,1,5.37
320,Barranca,-10.75,-77.77,73.92,88,85,12.06
321,Beyneu,45.32,55.2,49.98,52,77,9.82
322,Amahai,-3.33,128.92,81.48,75,100,4.65
323,Darhan,49.49,105.92,24.78,77,33,7.52
324,Verkhnevilyuysk,63.45,120.32,29.82,96,100,5.88
325,Santa Isabel Rio Negro,-0.41,-65.02,98.04,42,100,2.42
326,Vanimo,-2.67,141.3,81.3,76,100,11.1
327,Sungai Raya,0.7,108.9,75.0,97,65,3.89
328,Stornoway,58.21,-6.39,37.67,69,40,8.05
329,Taluya,5.81,125.17,71.22,82,46,5.28
330,Tautira,-17.73,-149.15,84.11,66,20,5.82
331,San Quintín,30.48,-115.95,62.22,66,6,9.84
332,Ulaanbaatar,47.91,106.88,26.6,68,40,4.47
333,Atar,20.52,-13.05,91.4,16,0,9.17
334,Ostrovnoy,68.05,39.51,25.5,89,100,24.23
335,Rio Grande,-32.03,-52.1,79.93,61,90,9.17
336,Dergachi,51.23,48.77,32.16,59,51,15.48
337,Saint-Augustin,51.23,-58.65,26.22,63,100,14.03
338,Olafsvik,64.89,-23.71,36.12,67,100,26.6
339,Semnan,35.57,53.4,58.44,48,72,8.05
340,Eisenach,50.98,10.32,45.81,45,55,9.17
341,San-Pédro,4.75,-6.64,81.84,82,100,10.67
342,Kropotkin,45.44,40.58,40.26,41,100,10.27
343,Codrington,-38.27,141.97,58.62,78,0,14.36
344,Storforshei,66.4,14.52,30.2,96,90,2.24
345,Lorengau,-2.02,147.27,83.28,75,100,12.33
346,Gander,48.97,-54.59,28.4,63,75,21.92
347,Marawi,8.0,124.29,72.0,82,16,5.01
348,Karatau,43.17,70.47,49.8,29,77,3.74
349,Yushu,44.8,126.53,16.68,87,89,7.16
350,Burnie,-41.07,145.92,54.3,93,26,5.01
351,Narsaq,60.92,-46.05,28.4,50,100,9.17
352,Pisco,-13.7,-76.22,72.66,30,77,8.05
353,Te Anau,-45.42,167.72,51.6,79,83,6.85
354,Urengoy,65.97,78.37,-3.84,88,83,5.55
355,Pavino,59.11,46.14,18.3,92,59,5.57
356,Garden City,42.33,-83.33,42.58,35,40,12.75
357,Laas,46.62,10.7,36.01,79,61,11.41
358,San Rafael del Sur,11.85,-86.44,93.2,49,40,18.34
359,Saint Lawrence,36.06,14.2,58.66,82,75,11.41
360,Mariehamn,60.1,19.93,39.2,80,100,27.51
361,Lubango,-14.92,13.49,63.48,89,77,4.29
362,Ust'-Shonosha,61.15,41.34,16.86,89,0,5.48
363,Hay River,60.82,-115.8,23.0,67,40,14.99
364,Hasaki,35.73,140.83,37.02,86,20,5.82
365,Sobolevo,54.43,31.9,26.94,57,0,7.07
366,Mugumu,-1.85,34.7,66.9,90,92,2.19
367,Mingora,34.78,72.36,43.32,57,58,6.53
368,Shingū,33.73,135.98,46.2,69,42,22.12
369,Morant Bay,17.88,-76.41,86.11,55,20,13.87
370,São João da Barra,-21.64,-41.05,86.0,58,8,16.11
371,Iwanai,42.97,140.51,20.82,87,100,4.76
372,Rancho Palos Verdes,33.74,-118.39,59.14,63,75,9.17
373,Port Hueneme,34.15,-119.2,56.32,63,90,7.65
374,Huntsville,34.73,-86.59,47.39,100,90,8.05
375,Kandava,57.04,22.77,33.24,64,17,14.0
376,Berlevåg,70.86,29.09,26.6,49,20,8.05
377,Coahuayana Viejo,18.73,-103.68,77.0,83,40,5.86
378,Birao,10.28,22.79,86.16,14,39,7.25
379,Tartagal,-22.52,-63.8,78.8,83,90,9.17
380,Meulaboh,4.14,96.13,85.08,70,60,0.76
381,Korla,41.76,86.15,44.55,60,91,1.99
382,Hanchuan,30.65,113.77,60.8,51,83,8.95
383,Micheweni,-4.97,39.83,85.26,77,76,13.29
384,Abu Kamal,34.45,40.92,62.4,66,45,0.58
385,Cayenne,4.93,-52.33,87.8,62,40,12.75
386,Ust-Tsilma,65.44,52.15,15.24,89,75,7.72
387,Requena,39.49,-1.1,57.15,77,75,10.29
388,Aksu,41.12,80.26,45.84,23,42,6.51
389,Inhambane,-23.86,35.38,80.6,74,20,4.7
390,Geraldton,-28.77,114.6,66.11,88,72,4.7
391,Dhandhuka,22.37,71.98,76.26,17,84,12.33
392,Lompoc,34.64,-120.46,56.37,62,90,19.46
393,Bhakkar,31.63,71.07,63.84,45,13,4.54
394,Bibbiena,43.7,11.81,47.57,46,0,17.0
395,Lata,40.16,-8.33,49.28,62,40,13.87
396,Cadillac,44.25,-85.4,38.66,31,1,6.93
397,Asău,46.43,26.4,29.21,42,0,5.82
398,Mabai,23.01,104.45,58.62,93,98,4.38
399,Havøysund,71.0,24.66,24.22,57,57,9.17
400,Chimoré,-16.98,-65.13,102.0,33,41,1.7
401,Srīvardhan,18.03,73.02,76.62,53,10,4.12
402,Roald,62.58,6.13,34.25,74,75,24.16
403,Esim,4.87,-2.24,83.1,75,99,7.31
404,Ardakān,32.31,54.02,59.0,51,75,6.93
405,Cabo San Lucas,22.89,-109.91,74.48,60,75,3.36
406,Kyaukse,21.6,96.13,78.06,25,98,9.62
407,Thinadhoo,0.53,72.93,84.18,56,2,2.01
408,Stawell,-37.05,142.77,47.64,94,0,5.46
409,Wajir,1.75,40.06,92.1,42,96,8.43
410,Kashgar,39.45,75.98,46.4,24,0,6.71
411,Paramonga,-10.67,-77.83,73.38,84,92,10.87
412,Lazarev,52.23,141.51,-2.04,95,0,4.99
413,Schwalmstadt,50.93,9.22,47.43,57,75,4.7
414,Port Moresby,-9.44,147.18,79.5,77,51,6.31
415,Lyantonde,-0.4,31.16,70.14,77,86,4.74
416,Port Augusta,-32.5,137.77,54.95,81,0,9.17
417,La Asuncion,11.03,-63.86,82.92,64,92,7.16
418,Villiers,-27.03,28.6,65.28,33,0,6.04
419,Spasskoye,44.61,132.8,14.34,92,5,2.1
420,Guiyang,26.58,106.72,51.8,93,90,2.24
421,Timrå,62.49,17.33,38.79,86,90,5.82
422,Torbat-e Jām,35.24,60.62,61.32,41,100,8.79
423,Palmer,42.16,-72.33,47.32,21,20,4.7
424,Alihe,50.57,123.72,4.26,87,0,4.45
425,Acapulco de Juárez,16.86,-99.89,86.0,66,75,8.05
426,Mitrofanovka,49.97,39.69,28.92,54,81,11.43
427,Abu Samrah,35.3,37.18,58.08,82,58,8.39
428,Coyhaique,-45.58,-72.07,64.4,55,40,8.05
429,Tāybād,34.74,60.78,65.28,26,100,14.81
430,Chicama,-7.84,-79.15,75.2,78,40,11.41
431,Falam,22.92,93.68,58.44,51,6,1.66
432,Barabai,-2.58,115.38,74.46,90,56,2.21
433,Richards Bay,-28.78,32.04,79.32,82,18,16.93
434,Sioux Lookout,50.1,-91.92,25.54,41,90,3.36
435,Channel-Port aux Basques,47.57,-59.14,29.28,75,11,14.14
436,North Bend,43.41,-124.22,44.19,61,1,4.7
437,Majene,-3.54,118.97,75.9,87,91,4.09
438,Nara,34.69,135.8,37.0,86,75,24.16
439,Tasiilaq,65.61,-37.64,8.6,42,100,21.92
440,Seydi,39.48,62.91,67.26,25,100,10.18
441,Wexford,52.33,-6.46,44.31,70,76,10.29
442,Teya,60.38,92.63,27.84,90,75,8.01
443,Ugoofaaru,5.67,73.0,83.64,75,3,9.66
444,Mahon,39.89,4.27,55.4,76,0,8.05
445,Zuwārah,32.93,12.08,60.24,77,2,7.67
446,Ranong,9.97,98.63,78.96,82,33,7.25
447,Chiredzi,-21.05,31.67,81.12,48,43,4.59
448,Oriximiná,-1.77,-55.87,75.36,94,100,5.12
449,Turukhansk,65.82,87.98,-9.96,97,96,5.3
450,Saldanha,-33.01,17.94,68.0,60,83,13.87
451,Miraflores,19.22,-98.81,77.0,20,5,5.82
452,Labuhan,-6.88,112.21,76.08,91,52,2.73
453,Goundam,16.41,-3.67,95.34,8,36,7.58
454,Along,28.17,94.77,60.6,90,83,3.04
455,Barcelona,41.39,2.16,56.01,82,20,4.7
456,Tutóia,-2.76,-42.27,86.0,79,40,12.75
457,Indian Head,38.6,-77.16,47.07,65,90,7.72
458,Ambon City,-3.7,128.18,77.0,94,40,2.24
459,Rāmānuj Ganj,23.8,83.7,69.24,60,96,1.36
460,Katherine,-14.47,132.27,75.2,78,0,4.9
461,Hendek,40.8,30.75,42.8,93,75,8.05
462,Kielce,50.87,20.63,33.51,1,0,9.71
463,Merauke,-8.47,140.33,75.36,87,1,3.11
464,Paptalaya,15.5,-84.32,86.88,57,49,6.2
465,Balikpapan,-1.27,116.83,82.74,79,75,19.33
466,Puerto Carreño,6.19,-67.49,93.2,38,40,10.29
467,Malindi,-3.22,40.12,80.76,84,96,6.49
468,Shaowu,27.34,117.48,48.9,74,7,2.59
469,Zhengjiatun,43.51,123.51,20.82,32,0,5.66
470,Pīpār,26.39,73.54,66.9,34,92,8.23
471,Rexburg,43.83,-111.79,37.72,93,90,10.29
472,Arlit,18.74,7.39,82.02,9,0,7.61
473,Khovd,48.01,91.64,28.2,34,91,5.75
474,Mandalgovi,45.76,106.27,28.74,56,0,14.79
475,Trincomalee,8.57,81.23,73.92,93,7,1.9
476,Sinnamary,5.38,-52.95,80.58,72,83,11.39
